Year,2GAP,3GAP,4GAP,TotalAP,Season
10410, 27.268 , 31.250 , 0.797 , 59.316 , 0
11111, 23.833 , 23.859 , 0.759 , 48.451 , 0
11211, 24.388 , 29.310 , 1.000 , 54.699 , 0
11311, 23.415 , 23.657 , 1.478 , 48.550 , 0
11411, 21.967 , 27.971 , 2.652 , 52.590 , 0
12112, 27.088 , 24.851 , 4.246 , 42.641 , 0
12212, 15.847 , 23.237 , 6.039 , 45.124 , 0
12312, 14.170 , 21.081 , 10.386 , 45.637 , 0
12412, 14.557 , 21.496 , 11.765 , 47.819 , 0
13113, 11.675 , 16.283 , 12.253 , 40.210 , 0
13213, 10.654 , 15.156 , 11.694 , 37.504 , 0
13313, 9.909 , 17.342 , 11.977 , 39.228 , 0
13413, 10.180 , 19.043 , 31.132 , 60.354 , 0
14114, 6.090 , 13.408 , 24.763 , 44.262 , 0
14214, 6.654 , 13.985 , 9.897 , 53.630 , 0
14314, 6.419 , 13.490 , 29.916 , 49.826 , 0
14414, 5.990 , 14.966 , 32.840 , 53.796 , 0
15115, 3.942 , 14.377 , 31.709 , 50.028 , 0
15215, 3.949 , 19.015 , 40.574 , 63.538 , 0
15315, 3.945 , 14.493 , 37.269 , 55.707 , 0
15415, 4.008 , 12.019 , 41.791 , 57.818 , 0
16116, 2.714 , 9.088 , 34.356 , 46.158 , 0
16216, 2.467 , 3.550 , 40.503 , 51.845 , 0
16316, 2.262 , 9.439 , 40.444 , 52.145 , 0
16416, 2.351 , 11.548 , 44.956 , 58.855 , 0
17117, 1.871 , 8.339 , 36.971 , 47.182 , 0
17217, 1.644 , 7.969 , 42.382 , 51.995 , 0
17317, 1.499 , 6.847 , 38.359 , 46.705 , 0
17417, 1.407 , 8.997 , 41.390 , 51.794 , 0
18118, 1.047 , 6.095 , 31.050 , 38.192 , 0
18218, 0.995 , 6.671 , 34.438 , 42.103 , 0
18318, 1.002 , 6.373 , 39.155 , 46.529 , 0
18418, 1.072 , 7.150 , 49.820 , 59.432 , 0
19119, 1.035 , 4.853 , 34.769 , 44.717 , 0
19219, 1.035 , 6.590 , 34.313 , 50.170 , 0
19319, 1.002 , 7.184 , 31.291 , 52.764 , 0
19419, 0.987 , 8.428 , 32.116 , 58.949 , 0
20120, 1.008 , 7.401 , 32.573 , 53.961 , 2020-03
20220, 0.999 , 7.671 , 31.993 , 55.225 , 2020-06
20320, 0.998 , 7.833 , 32.227 , 56.045 , 2020-09
20420, 1.002 , 7.635 , 32.264 , 55.077 , 2020-12
